"Username","Date","Rating","Comment","Link"
"Super Smoote",4/15/2018 10:17:22 PM,"none","Great review, but I just can’t get over the pre-peeled garlic.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugw0yLRwnDo2UDEQ_E14AaABAg"
"pmarie2003",4/15/2018 3:22:56 PM,"none","Lazy people.  I bought a brisket for about $20, and a few veggies, including salad greens.  I've been eating on the brisket for 11 days, and I'm about half way through.  I buy veggies every week.  Saute some veggies, sprinkle on some spices, add the brisket to warm it up.   I'm getting mulberries from my trees now.  Soon I'll have veggies from the garden.   Buy a tomato, pepper, etc., and plant the seeds.  You'll have vegetables for months.  You'll have to get off Wastebook, and do some work though.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxS98meyzc2Keyk4Ux4AaABAg"
"lynlovescake",4/14/2018 10:57:39 AM,"none","I tried both of these sub boxes and i get a lot more food with hello fresh. I have left overs that i can eat for lunch then take to work","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwrK1ljs3IinWZMDex4AaABAg"
"Hannah Josquin",4/14/2018 12:36:49 AM,"none","my question 
how safe is the food that sits all day on your porch?
Both my husband and I work all day leaving very early in the am usually around 6 am and returning much later. 6-7 pm. will the food still be safe for consumption?","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxlUmmooR0VPptye3x4AaABAg"
"Blaque Pearlz Place",4/13/2018 6:17:14 PM,"none","This is really great information and you just saved me a lot of money! I’m only feeding myself and I don’t eat much so this service isn’t for me. Thank you for sharing!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugy7f3Eunf3_mx86I6x4AaABAg"
"Prime Oil",4/13/2018 2:54:14 PM,"none","HELLO FRESH IS SO NASTY LOL BLUE APRON TASTES SO MUCH BETTER BEING A NUTRITIONIST ID RATHER BUY BLUE THAN A 12 CENT CAN OF OLIVES MADE AT A NUCLEAR POWER PLANT LOL","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyXEJ0Q90lrSgfMlsB4AaABAg"
"Prime Oil",4/13/2018 2:46:00 PM,"none","LOL BLUEAPRONS PASTA IS BILLION TIMES BETTER THAN HELLO FRESH WHY NOT BE FAIR AND COMPARE EACH MEAL SIDE BY SIDE INSTEAD DOING SOME RANDOM VIDEO?","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxuUKKuQm7x-LOGlPB4AaABAg"
"Darla",4/9/2018 5:56:40 AM,"none","We tried Blue Apron. I was very impressed by the freshness of the produce especially. I found sorting out the box fun the first time, then it DID become like a chore. It was nice to not need to go to the grocery store because I was suffering neck and back pain at the time. I liked the recipes but exactly as you stated in this video, there wasn’t any leftovers. That can be a good thing for some people, but we like to have at least one serving of leftovers to tote to workplace. The family missed our regular recipes that I am sooo tired of making.Stopping the service & restarting was absolutely no issue, they had great customer service. A couple comments on the price...yes you can go to the store and buy those ingredients cheaply, but there can be the additional expenses from the add-on purchases, those other “good deals, “ the Easter product clearance junk ...also I think these meals in a box with the photos of every step are a good way for tweens to start learning to cook. So I think it is a fun thing to do now and then to break up the monotony.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyboTPxjIF9sRPthjB4AaABAg"
"Darla",4/9/2018 5:42:56 AM,"none","Time to get a new wooden spoon omg","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugz934wDOs2-uzGCsfx4AaABAg"
"Falisha Mazza",4/8/2018 11:57:58 PM,"none","ok, i have been so curious about these boxes! best review yet","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwVQZfbtXpqD28Kt254AaABAg"
"syn707",4/7/2018 1:53:53 AM,"none","Just saw a tv ad about this. The mother and the two daughters were obese by today’s medical standards. So I wonder about the nutritional content of these foods.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyafEskWGEEfBqkbtN4AaABAg"
"Jovan Hines",4/5/2018 3:55:52 AM,"none","Perfect!! Hello fresh it is","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwsS9FrPE_xx8Gk2Cp4AaABAg"
"Christopher Mellinger",4/2/2018 12:48:37 AM,"none","Cool","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwjdVbPNpQRqwXkCLB4AaABAg"
"François Auerbach",4/1/2018 9:38:06 PM,"none","You have more packaging than produce and a landfill disaster at your fingertips","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyTuffAm67QcbABM_R4AaABAg"
"fisuoy",3/30/2018 6:01:17 PM,"none","these videos are actually pretty helpful.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxFyGlA4ibZq-Pw38R4AaABAg"
"Jan Michael Santos",3/29/2018 3:50:47 PM,"none","So much trash!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgxcA0DO8I9LCMTrM8d4AaABAg"
