"Username","Date","Rating","Comment","Link"
"Naved Khan",6/7/2018 4:20:58 PM,"none","May ""ALLAH"" grant him jannah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugyu7ZKKgC8waUNj2JB4AaABAg"
"sayzar P",6/7/2018 3:13:04 PM,"none","I love Allah I hope the world see this and change for the better for ourselves and others. Amin.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxoCEr-LbSEGdjqg_B4AaABAg"
"ishwa Masood",6/7/2018 9:52:25 AM,"none","May Allah almighty bless him with Jannah ameeeeeeen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzF4Tbxr9FSLnmPGxN4AaABAg"
"Asha Yusufu Omar",6/7/2018 8:42:47 AM,"none","Ya juu","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxNTdGUmtoJfraT6qt4AaABAg"
"Asha Yusufu Omar",6/7/2018 8:42:21 AM,"none","Mwenyenzi mungu  akupe pepo ya daraja","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxYNOFm64_3TL6y_M54AaABAg"
"Samra Rani",6/7/2018 7:11:30 AM,"none","I can't forget this great and brave person","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugz8O4mNq28-uUc_7C54AaABAg"
"THE OFFICIAL TAWHEED",6/7/2018 12:05:39 AM,"none","We learn to live only when we realise how to live. 
It's said happiness can't be bought but it can be shared. 
Ali, I know you are in Jannah but this message is for the world. 
Make sure to spread happiness when ever you can before it's all gone. 
#islamisthebestreligion
#islamispeace","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy5kqMrqMq3u56AdW54AaABAg"
"KingsWorld2015",6/6/2018 11:15:36 PM,"none","Now this is what a true Muslim is. May he rest in peace. It's true materialistic things mean jack shit when you're unhappy or sick.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzDxg0f6AtPh8I1YRl4AaABAg"
"SANA ULLAH",6/6/2018 10:04:53 PM,"none","😢","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy8KPYQBojnjVkqenB4AaABAg"
"Raima Qamar",6/6/2018 10:00:17 PM,"none","RIP ..Ameen","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwmGNgGjuAYACLlKKN4AaABAg"
"Zıkkım 47",6/6/2018 7:24:35 PM,"none","Xwedê cê te cennet bike amin 😚😚😚","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugw8jja7toUAMEmXGjh4AaABAg"
"Marcus Harmon",6/6/2018 5:49:07 PM,"none","I hope you find Christ before you die as I know he is the True saviour and redeemer ..","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwRBkQNU8t8DCnPeiJ4AaABAg"
"suada mohamed",6/6/2018 5:31:57 PM,"none","alxamdulilaah","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugzo3emmkr3gCfvCPnd4AaABAg"
"Enid Murray",6/6/2018 5:25:22 PM,"none","Its not about giving.
You can give and give but your whats in your heart.
Giving in a special season alone.
No no no.
Love the lord thy God with all your soul and all your might and love your neighbour as yourself. Then you can give and it will count.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzT_xKZ66yBkMuqX0N4AaABAg"
